2025-12-07 18:53:14.685 | INFO | no-id | Using custom nameservers: ['8.8.8.8', '8.8.4.4']
2025-12-07 18:53:59.802 | INFO | no-id | Using custom nameservers: ['8.8.8.8', '8.8.4.4']
2025-12-07 18:55:46.954 | INFO | no-id | Using custom nameservers: ['8.8.8.8', '8.8.4.4']
2025-12-07 18:56:26.968 | INFO | no-id | Using custom nameservers: ['8.8.8.8', '8.8.4.4']
2025-12-07 18:56:27.218 | DEBUG | no-id | Prometheus registry cleaned for development mode
2025-12-07 18:56:27.223 | INFO | no-id | 🔇 Console tracing disabled in development (reducing log noise)
2025-12-07 18:56:27.223 | INFO | no-id | ℹ️ No tracing exporter configured (development mode)
2025-12-07 18:56:27.224 | INFO | no-id | 🔇 OpenTelemetry verbose logging disabled in development
2025-12-07 18:56:27.224 | SUCCESS | no-id | ✅ FastAPI instrumented for tracing
2025-12-07 18:56:27.224 | SUCCESS | no-id | ✅ Redis instrumented for tracing
2025-12-07 18:56:27.225 | SUCCESS | no-id | ✅ HTTP client instrumented for tracing
2025-12-07 18:56:27.225 | SUCCESS | no-id | 🔍 Distributed tracing initialized for mailsafepro-api
2025-12-07 18:56:27.248 | INFO | no-id | Exception handlers registered successfully
2025-12-07 18:56:27.249 | INFO | no-id | 🚀 Starting API server in development environment
2025-12-07 18:56:27.249 | INFO | no-id | Attempting to connect to Redis: redis://redis:6379/0...
2025-12-07 18:56:27.256 | SUCCESS | no-id | ✅ Redis connection established successfully
2025-12-07 18:56:27.256 | INFO | no-id | Attempting to initialize ARQ Redis pool...
2025-12-07 18:56:27.257 | SUCCESS | no-id | ✅ ARQ Redis pool initialized successfully
2025-12-07 18:56:27.257 | INFO | no-id | 🔥 Warming up connection pools...
2025-12-07 18:56:27.260 | DEBUG | no-id | ✅ Redis pool warmed (10 connections)
2025-12-07 18:56:27.277 | DEBUG | no-id | ✅ DNS cache warmed (8 domains)
2025-12-07 18:56:27.277 | SUCCESS | no-id | ✅ Connection pools warmed up
2025-12-07 18:56:27.278 | INFO | no-id | 🔧 Initializing application services...
2025-12-07 18:56:27.279 | INFO | no-id | UnifiedCache initialized
2025-12-07 18:56:27.279 | INFO | no-id | Initialized PerHostCircuitBreaker for smtp
2025-12-07 18:56:27.279 | INFO | no-id | ✅ Redis client injected into validation layer
2025-12-07 18:56:27.279 | INFO | no-id | ✅ Redis client configured in health manager
2025-12-07 18:56:27.282 | INFO | no-id | 📦 Cached 8 disposable domains
